"id","label","comment","subTypeOf","enumerationtype","equivalentClass","properties","subTypes","supersedes","supersededBy","isPartOf"
"http://schema.org/Thing","Thing","The most generic type of item.","","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","http://schema.org/Action, http://schema.org/CreativeWork, http://schema.org/Event, http://schema.org/Intangible, http://schema.org/MedicalEntity, http://schema.org/Organization, http://schema.org/Person, http://schema.org/Place, http://schema.org/Product, http://schema.org/StupidType","","",""
"http://schema.org/Course","Course","A description of an educational course which may be offered as distinct instances at which take place at different times or take place at different locations, or be offered through different media or modes of study. An educational course is a sequence of one or more educational events and/or creative works which aims to build knowledge, competence or ability of learners.","http://schema.org/CreativeWork","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/courseCode, http://schema.org/coursePrerequisites, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalCredentialAwarded, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasCourseInstance, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/workExample, http://schema.org/workTranslation","","","",""
"http://schema.org/Person","Person","A person (alive, dead, undead, or fictional).","http://schema.org/Thing","","http://xmlns.com/foaf/0.1/Person","http://schema.org/additionalName, http://schema.org/additionalType, http://schema.org/address, http://schema.org/affiliation, http://schema.org/alternateName, http://schema.org/alumniOf, http://schema.org/award, http://schema.org/awards, http://schema.org/birthDate, http://schema.org/birthPlace, http://schema.org/brand, http://schema.org/children, http://schema.org/colleague, http://schema.org/colleagues, http://schema.org/contactPoint, http://schema.org/contactPoints, http://schema.org/deathDate, http://schema.org/deathPlace, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/duns, http://schema.org/email, http://schema.org/familyName, http://schema.org/faxNumber, http://schema.org/follows, http://schema.org/funder, http://schema.org/gender, http://schema.org/givenName, http://schema.org/globalLocationNumber, http://schema.org/hasOccupation, http://schema.org/hasOfferCatalog, http://schema.org/hasPOS, http://schema.org/height, http://schema.org/homeLocation, http://schema.org/honorificPrefix, http://schema.org/honorificSuffix, http://schema.org/identifier, http://schema.org/image, http://schema.org/isicV4, http://schema.org/jobTitle, http://schema.org/knows, http://schema.org/knowsAbout, http://schema.org/knowsLanguage, http://schema.org/mainEntityOfPage, http://schema.org/makesOffer, http://schema.org/memberOf, http://schema.org/naics, http://schema.org/name, http://schema.org/nationality, http://schema.org/netWorth, http://schema.org/owns, http://schema.org/parent, http://schema.org/parents, http://schema.org/performerIn, http://schema.org/potentialAction, http://schema.org/publishingPrinciples, http://schema.org/relatedTo, http://schema.org/sameAs, http://schema.org/seeks, http://schema.org/sibling, http://schema.org/siblings, http://schema.org/sponsor, http://schema.org/spouse, http://schema.org/subjectOf, http://schema.org/taxID, http://schema.org/telephone, http://schema.org/url, http://schema.org/vatID, http://schema.org/weight, http://schema.org/workLocation, http://schema.org/worksFor","http://schema.org/Patient","","",""
"http://schema.org/Organization","Organization","An organization such as a school, NGO, corporation, club, etc.","http://schema.org/Thing","","","http://schema.org/actionableFeedbackPolicy, http://schema.org/additionalType, http://schema.org/address, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alumni, http://schema.org/areaServed, http://schema.org/award, http://schema.org/awards, http://schema.org/brand, http://schema.org/contactPoint, http://schema.org/contactPoints, http://schema.org/correctionsPolicy, http://schema.org/department, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/dissolutionDate, http://schema.org/diversityPolicy, http://schema.org/diversityStaffingReport, http://schema.org/duns, http://schema.org/email, http://schema.org/employee, http://schema.org/employees, http://schema.org/ethicsPolicy, http://schema.org/event, http://schema.org/events, http://schema.org/faxNumber, http://schema.org/founder, http://schema.org/founders, http://schema.org/foundingDate, http://schema.org/foundingLocation, http://schema.org/funder, http://schema.org/globalLocationNumber, http://schema.org/hasOfferCatalog, http://schema.org/hasPOS, http://schema.org/identifier, http://schema.org/image, http://schema.org/isicV4, http://schema.org/knowsAbout, http://schema.org/knowsLanguage, http://schema.org/legalName, http://schema.org/leiCode, http://schema.org/location, http://schema.org/logo, http://schema.org/mainEntityOfPage, http://schema.org/makesOffer, http://schema.org/member, http://schema.org/memberOf, http://schema.org/members, http://schema.org/naics, http://schema.org/name, http://schema.org/numberOfEmployees, http://schema.org/ownershipFundingInfo, http://schema.org/owns, http://schema.org/parentOrganization, http://schema.org/potentialAction, http://schema.org/publishingPrinciples, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seeks, http://schema.org/serviceArea, http://schema.org/sponsor, http://schema.org/subOrganization, http://schema.org/subjectOf, http://schema.org/taxID, http://schema.org/telephone, http://schema.org/unnamedSourcesPolicy, http://schema.org/url, http://schema.org/vatID","http://schema.org/Airline, http://schema.org/Consortium, http://schema.org/Corporation, http://schema.org/EducationalOrganization, http://schema.org/GovernmentOrganization, http://schema.org/LibrarySystem, http://schema.org/LocalBusiness, http://schema.org/MedicalOrganization, http://schema.org/NGO, http://schema.org/NewsMediaOrganization, http://schema.org/PerformingGroup, http://schema.org/SportsOrganization, http://schema.org/WorkersUnion","","",""
"http://schema.org/CreativeWork","CreativeWork","The most generic kind of creative work, including books, movies, photographs, software programs, etc.","http://schema.org/Thing","","","http://schema.org/about, http://schema.org/accessMode, http://schema.org/accessModeSufficient, http://schema.org/accessibilityAPI, http://schema.org/accessibilityControl, http://schema.org/accessibilityFeature, http://schema.org/accessibilityHazard, http://schema.org/accessibilitySummary, http://schema.org/accountablePerson, http://schema.org/additionalType, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/alternativeHeadline, http://schema.org/associatedMedia, http://schema.org/audience, http://schema.org/audio, http://schema.org/author, http://schema.org/award, http://schema.org/awards, http://schema.org/character, http://schema.org/citation, http://schema.org/comment, http://schema.org/commentCount, http://schema.org/contentLocation, http://schema.org/contentRating, http://schema.org/contentReferenceTime, http://schema.org/contributor, http://schema.org/copyrightHolder, http://schema.org/copyrightYear, http://schema.org/correction, http://schema.org/creator, http://schema.org/dateCreated, http://schema.org/dateModified, http://schema.org/datePublished, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/discussionUrl, http://schema.org/editor, http://schema.org/educationalAlignment, http://schema.org/educationalUse, http://schema.org/encoding, http://schema.org/encodingFormat, http://schema.org/encodings, http://schema.org/exampleOfWork, http://schema.org/expires, http://schema.org/fileFormat, http://schema.org/funder, http://schema.org/genre, http://schema.org/hasPart, http://schema.org/headline, http://schema.org/identifier, http://schema.org/image, http://schema.org/inLanguage, http://schema.org/interactionStatistic, http://schema.org/interactivityType, http://schema.org/isAccessibleForFree, http://schema.org/isBasedOn, http://schema.org/isBasedOnUrl, http://schema.org/isFamilyFriendly, http://schema.org/isPartOf, http://schema.org/keywords, http://schema.org/learningResourceType, http://schema.org/license, http://schema.org/locationCreated, http://schema.org/mainEntity, http://schema.org/mainEntityOfPage, http://schema.org/material, http://schema.org/mentions, http://schema.org/name, http://schema.org/offers, http://schema.org/position, http://schema.org/potentialAction, http://schema.org/producer, http://schema.org/provider, http://schema.org/publication, http://schema.org/publisher, http://schema.org/publisherImprint, http://schema.org/publishingPrinciples, http://schema.org/recordedAt, http://schema.org/releasedEvent, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/schemaVersion, http://schema.org/sdDatePublished, http://schema.org/sdLicense, http://schema.org/sdPublisher, http://schema.org/sourceOrganization, http://schema.org/spatialCoverage, http://schema.org/sponsor, http://schema.org/subjectOf, http://schema.org/temporalCoverage, http://schema.org/text, http://schema.org/thumbnailUrl, http://schema.org/timeRequired, http://schema.org/translationOfWork, http://schema.org/translator, http://schema.org/typicalAgeRange, http://schema.org/url, http://schema.org/version, http://schema.org/video, http://schema.org/workExample, http://schema.org/workTranslation","http://schema.org/Article, http://schema.org/Atlas, http://schema.org/Blog, http://schema.org/Book, http://schema.org/Chapter, http://schema.org/Claim, http://schema.org/Clip, http://schema.org/Code, http://schema.org/Collection, http://schema.org/ComicStory, http://schema.org/Comment, http://schema.org/Conversation, http://schema.org/Course, http://schema.org/CreativeWorkSeason, http://schema.org/CreativeWorkSeries, http://schema.org/DataCatalog, http://schema.org/Dataset, http://schema.org/DefinedTermSet, http://schema.org/Diet, http://schema.org/DigitalDocument, http://schema.org/Episode, http://schema.org/ExercisePlan, http://schema.org/Game, http://schema.org/HowTo, http://schema.org/HowToDirection, http://schema.org/HowToSection, http://schema.org/HowToStep, http://schema.org/HowToTip, http://schema.org/Legislation, http://schema.org/Map, http://schema.org/MediaObject, http://schema.org/Menu, http://schema.org/MenuSection, http://schema.org/Message, http://schema.org/Movie, http://schema.org/MusicComposition, http://schema.org/MusicPlaylist, http://schema.org/MusicRecording, http://schema.org/Painting, http://schema.org/Photograph, http://schema.org/PublicationIssue, http://schema.org/PublicationVolume, http://schema.org/Question, http://schema.org/Quotation, http://schema.org/Review, http://schema.org/Sculpture, http://schema.org/Season, http://schema.org/SoftwareApplication, http://schema.org/SoftwareSourceCode, http://schema.org/TVSeason, http://schema.org/TVSeries, http://schema.org/Thesis, http://schema.org/VisualArtwork, http://schema.org/WebPage, http://schema.org/WebPageElement, http://schema.org/WebSite","","",""
"http://schema.org/Offer","Offer","An offer to transfer some rights to an item or to provide a service â€” for example, an offer to sell tickets to an event, to rent the DVD of a movie, to stream a TV show over the internet, to repair a motorcycle, or to loan a book.<br/><br/>

For <a href=""http://www.gs1.org/barcodes/technical/idkeys/gtin"">GTIN</a>-related fields, see <a href=""http://www.gs1.org/barcodes/support/check_digit_calculator"">Check Digit calculator</a> and <a href=""http://www.gs1us.org/resources/standards/gtin-validation-guide"">validation guide</a> from <a href=""http://www.gs1.org/"">GS1</a>.","http://schema.org/Intangible","","","http://schema.org/acceptedPaymentMethod, http://schema.org/addOn, http://schema.org/additionalType, http://schema.org/advanceBookingRequirement, http://schema.org/aggregateRating, http://schema.org/alternateName, http://schema.org/areaServed, http://schema.org/availability, http://schema.org/availabilityEnds, http://schema.org/availabilityStarts, http://schema.org/availableAtOrFrom, http://schema.org/availableDeliveryMethod, http://schema.org/businessFunction, http://schema.org/category, http://schema.org/deliveryLeadTime, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/eligibleCustomerType, http://schema.org/eligibleDuration, http://schema.org/eligibleQuantity, http://schema.org/eligibleRegion, http://schema.org/eligibleTransactionVolume, http://schema.org/gtin12, http://schema.org/gtin13, http://schema.org/gtin14, http://schema.org/gtin8, http://schema.org/identifier, http://schema.org/image, http://schema.org/includesObject, http://schema.org/ineligibleRegion, http://schema.org/inventoryLevel, http://schema.org/itemCondition, http://schema.org/itemOffered, http://schema.org/mainEntityOfPage, http://schema.org/mpn, http://schema.org/name, http://schema.org/offeredBy, http://schema.org/potentialAction, http://schema.org/price, http://schema.org/priceCurrency, http://schema.org/priceSpecification, http://schema.org/priceValidUntil, http://schema.org/review, http://schema.org/reviews, http://schema.org/sameAs, http://schema.org/seller, http://schema.org/serialNumber, http://schema.org/sku, http://schema.org/subjectOf, http://schema.org/url, http://schema.org/validFrom, http://schema.org/validThrough, http://schema.org/warranty","http://schema.org/AggregateOffer","","",""
"http://schema.org/Language","Language","Natural languages such as Spanish, Tamil, Hindi, English, etc. Formal language code tags expressed in <a href=""https://en.wikipedia.org/wiki/IETF_language_tag"">BCP 47</a> can be used via the <a class=""localLink"" href=""http://schema.org/alternateName"">alternateName</a> property. The Language type previously also covered programming languages such as Scheme and Lisp, which are now best represented using <a class=""localLink"" href=""http://schema.org/ComputerLanguage"">ComputerLanguage</a>.","http://schema.org/Intangible","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","","","",""
"http://schema.org/AggregateRating","AggregateRating","The average rating based on multiple ratings or reviews.","http://schema.org/Rating","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/author, http://schema.org/bestRating, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/itemReviewed, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/ratingCount, http://schema.org/ratingValue, http://schema.org/reviewAspect, http://schema.org/reviewCount, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url, http://schema.org/worstRating","http://schema.org/EmployerAggregateRating","","",""
"http://schema.org/Rating","Rating","A rating is an evaluation on a numeric scale, such as 1 to 5 stars.","http://schema.org/Intangible","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/author, http://schema.org/bestRating, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/ratingValue, http://schema.org/reviewAspect, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url, http://schema.org/worstRating","http://schema.org/AggregateRating, http://schema.org/EndorsementRating","","",""
"http://schema.org/Audience","Audience","Intended audience for an item, i.e. the group for whom the item was created.","http://schema.org/Intangible","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/audienceType, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/geographicArea, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","http://schema.org/BusinessAudience, http://schema.org/EducationalAudience, http://schema.org/MedicalAudience, http://schema.org/PeopleAudience","","",""
"http://schema.org/EducationalAudience","EducationalAudience","An EducationalAudience.","http://schema.org/Audience","","","http://schema.org/additionalType, http://schema.org/alternateName, http://schema.org/audienceType, http://schema.org/description, http://schema.org/disambiguatingDescription, http://schema.org/educationalRole, http://schema.org/geographicArea, http://schema.org/identifier, http://schema.org/image, http://schema.org/mainEntityOfPage, http://schema.org/name, http://schema.org/potentialAction, http://schema.org/sameAs, http://schema.org/subjectOf, http://schema.org/url","","","",""
